responseId,LocationLatitude,LocationLongitude,2020_GISJOIN,2010_GISJOIN,2020G_FIPS,RUCC_2023,NotInUS
R_3C29LcYTnXR1zAy,42.3575,-83.2162,G26016305472004,G26016305454001,G26163,1,0
R_5lyle3f4Ij5tUp3,32.8372,-96.769,G48011300002022,G48011300002022,G48113,1,0
R_7hmRMbYttffU1TM,42.5586,-83.4773,G26012501346002,G26012501346001,G26125,1,0
R_62xlUgZCuHFJRR7,39.8199,-84.0297,G39005702004002,G39005702004002,G39057,2,0
R_3LLp81Epk1uEwUH,41.4235,-73.4724,G09000102110002,G09000102110002,G09001,#N/A,0
R_7iBZBbjtoQPX70G,41.7697,-87.6985,G17003106609003,G17003106609003,G17031,1,0
R_3bHL2FnH8g8psXE,32.4154,-110.9809,G04001900046363,G04001900046364,G04019,1,0
R_3Xl62n4yEHyv5nj,42.7826,-71.1029,G25000902607002,G25000902607002,G25009,1,0
R_1CCfYaRau0VDlq9,29.3763,-98.3884,G48002901314014,G48002901314011,G48029,1,0
R_1PnTBhkGLtl4pNc,36.5963,-94.7563,G40004103757021,G40004103757001,G40041,6,0
R_3TQQSgiW7WPtpoD,32.6773,-117.0477,G06007300032085,G06007300032085,G06073,1,0
R_3aVVmcjwStw0f8n,28.4797,-82.5126,G12005300409083,G12005300409081,G12053,1,0
R_362tSmP7c6pXnQl,39.4995,-82.0879,G39000909726003,G39000909726003,G39009,4,0
R_57PvJ5K8Sav2cPd,61.2034,-149.7595,G02002000017022,G02002000017023,G02020,2,0
R_7j4WGogelkEdP7H,34.0896,-117.8895,G06003704061012,G06003704061012,G06037,1,0
R_5gvzwQUT1x4VkEY,29.4213,-98.5313,G48002901703006,G48002901703006,G48029,1,0
R_5qUTy3evQ3G7tMj,39.6663,-104.8343,G08000500804003,G08000500804003,G08005,1,0
R_3FLAVItlONnBMVP,26.5355,-80.1098,G12009900060111,G12009900060111,G12099,1,0
R_1AL8PBVyyy4G0Mp,26.6207,-81.8741,G12007100010022,G12007100010002,G12071,2,0
R_7fri3LgMnLItCSy,37.1531,-84.0986,G21012509705001,G21012509705001,G21125,5,0
R_30czsSaRfCOHo5b,42.5686,-83.0668,G26009902314003,G26009902314003,G26099,1,0
R_10Hq4QXPJarfoLA,36.926,-89.3418,G29013309502004,G29013309502004,G29133,8,0
R_6cAgNJKKT7CRwhL,42.7256,-87.8588,G55010100017061,G55010100017061,G55101,3,0
R_7scZvFli6O3LYFY,34.1794,-118.4313,G06003701286013,G06003701286011,G06037,1,0
R_5qQH3UAE0thIH1F,40.4339,-79.9996,G42000300201004,G42000300201005,G42003,1,0
R_1oqe3Q1ARnNuj73,30.3574,-89.1649,G28004700027013,G28004700027002,G28047,2,0
R_6Pf7Y7pbSDB3Lmp,33.7344,-84.0986,G13008900233182,G13008900233031,G13089,1,0
R_1lKTABc0pHKRY9L,37.0142,-76.4286,G51070000313003,G51070000313002,G51700,1,0
R_31cQTXFTmcwDYsX,32.7104,-117.0528,G06007300031032,G06007300031032,G06073,1,0
R_3tgPDAfmI1GgMIp,32.7836,-96.8674,G48011300205002,G48011300205002,G48113,1,0
R_6j3dlDEXNt0mhkY,40.7547,-73.9614,G36006100086032,G36006100086032,G36061,1,0
R_6rMLAwDSSv8U2KQ,41.5382,-72.8008,G09000901701001,G09000901701001,G09009,#N/A,0
R_3hxOBp4hjnAJxOh,32.5108,-97.9526,G48022101603021,G48022101603021,G48221,4,0
R_1qOuFOb5HZr0B0S,41.8528,-90.2071,G19004500005003,G19004500005003,G19045,4,0
R_5q63oHewftVaKPf,35.9854,-115.1193,G32000300053482,G32000300053482,G32003,1,0
R_3E5obs5wTNWIhTV,30.1713,-97.6152,G48045300024532,G48045300024332,G48453,1,0
R_3WN0NUZh67oJtQZ,41.039,-81.7381,G39010304170011,G39010304170004,G39103,1,0
R_10UVXnXXIHrwLZj,46.0113,-122.8184,G53001500016011,G53001500016003,G53015,3,0
R_5e4WSZkEdFaoe8I,33.2205,-97.1294,G48012100206013,G48012100206013,G48121,1,0
R_6PZBy1sIrRpaPyS,37.1661,-93.2458,G29007700026004,G29007700026001,G29077,2,0
R_6MIm8EiGIRepC5X,29.4291,-81.5546,G12010709514022,G12010709514022,G12107,4,0
R_6nHc4X7GOOeNbIl,38.7059,-90.3078,G29018902137023,G29018902137005,G29189,1,0
R_7JJYXPlxLnAZELe,41.7697,-87.6985,G17003106609003,G17003106609003,G17031,1,0
R_5qeTtQ68R9lA9Ao,38.5879,-121.4053,G06006700055103,G06006700055101,G06067,1,0
R_5SehpBhY4PW3cRd,43.1612,-78.6946,G36006300239013,G36006300239013,G36063,1,0
R_6WvtcfXaZdd7l7m,39.6562,-104.7866,G08000500845001,G08000500845001,G08005,1,0
R_58W0eHl3cXx6e5j,33.6598,-117.3485,G06006500464022,G06006500464022,G06065,1,0
R_61dOZOiE3bEyWXx,37.752,-87.1514,G21005900006002,G21005900006002,G21059,3,0
R_5lWYZLFxTu0WsUV,40.8527,-73.9383,G36006100273003,G36006100273003,G36061,1,0
R_39voe0MCUCabpXC,33.4689,-111.9155,G04001302179001,G04001302179001,G04013,1,0
R_3wbj0PjvrjkodT3,37.797,-81.1979,G54008100005002,G54008100005002,G54081,3,0
R_5kyLl5lfE9eNQ41,34.1438,-117.2548,G06007100062032,G06007100062032,G06071,1,0
R_6EtkcMggTZ2KYNO,38.2145,-85.2254,G21021100403022,G21021100403022,G21211,1,0
R_67rCCCuYx89lVHb,42.7384,-71.6663,G33001100180022,G33001100180001,G33011,2,0
R_7GkV3gZodyqvjmV,42.366,-71.2271,G25001703687002,G25001703687002,G25017,1,0
R_7MGrU6crTQV8U8h,35.0562,-80.8194,G37011900058591,G37011900058413,G37119,1,0
R_3zUB9algOV0HxFR,29.4553,-98.5677,G48002901713021,G48002901713021,G48029,1,0
R_1DyaWGCwwfin3Vv,48.9366,-122.4576,G53007300103021,G53007300103022,G53073,3,0
R_1JmUk5R656Zy8kJ,37.6288,-77.5489,G51008702001261,G51008702001261,G51087,1,0
R_3zG4qrNzfrj2vVT,32.7226,-97.0785,G48043901220011,G48043901220012,G48439,1,0
R_6HxY30AJl7k08Cd,40.6487,-111.9682,G49003501135231,G49003501135231,G49035,1,0
R_5DHc655ued7OTDS,28.3888,-80.7301,G12000900715001,G12000900715001,G12009,2,0
R_5f2WYkZuXyojQSR,35.6865,-81.3664,G37003500111024,G37003500111024,G37035,2,0
R_1no5Rk3662u8Nod,39.8864,-79.7249,G42005102624001,G42005102624001,G42051,1,0
R_6v0hdQrGoxpiuK5,41.9984,-87.7108,G17003108080022,G17003108080022,G17031,1,0
R_3UwecwoKJT8oHUB,42.6481,-86.1671,G26000500308021,G26000500308001,G26005,4,0
R_6iJDve1mezogxH4,32.8236,-96.6814,G48011300124003,G48011300124006,G48113,1,0
R_1BbrI8fj7Q3m3hA,41.5271,-87.2533,G18008900420001,G18008900420001,G18089,1,0
R_5zMg3xBO1fkC6K3,44.0185,-121.2984,G41001700020022,G41001700020003,G41017,3,0
R_6DtIekvttkA15sJ,41.0105,-74.2074,G34000300202001,G34000300202001,G34003,1,0
R_1OqpIalEQLF5UoZ,36.9365,-84.0901,G21023509202001,G21023509202001,G21235,7,0
R_1y8EFBR7P6bBZqJ,29.5718,-95.1305,G48020103406001,G48020103406001,G48201,1,0
R_6PcnQIwDvo5eogd,39.9216,-82.8664,G39004900093261,G39004900093261,G39049,1,0
R_3pnHQklfDFN4Nlo,36.2625,-115.1732,G32000300036321,G32000300036321,G32003,1,0
R_6CNyT4Ht12U4owP,38.8574,-77.1,G51001301027012,G51001301027012,G51013,1,0
R_7LBiGsw3oMUyMN0,44.0278,-88.185,G55001500205002,G55001500205003,G55015,3,0
R_5OZHlrUlBvnF0Yn,37.8075,-122.2644,G06000104034011,G06000104034001,G06001,1,0
R_1Srgt5LNy9B2vmq,35.2296,-80.843,G37011900001041,G37011900001003,G37119,1,0
R_7cssSp8GuQJhNmx,40.8879,-73.0087,G36010301583242,G36010301583212,G36103,1,0
R_75KKVzOt8OyNq2R,39.7923,-85.9781,G18009703605022,G18009703605022,G18097,1,0
R_1Pe4KuqMnXRKaH6,30.7187,-97.7533,G48049100201191,G48049100201052,G48491,1,0
R_3FKFPYl5jkRyh7c,43.0371,-89.3932,G55002500014011,G55002500014011,G55025,2,0
R_697VUk2sapN0Zpf,27.7538,-82.7208,G12010300281023,G12010300281023,G12103,1,0
R_7VC24FEOqP4c4Yn,27.3027,-98.6852,G48024709504003,G48024709504001,G48247,8,0
R_3rMjOXlfax9MKcn,42.2739,-89.0474,G17020100006003,G17020100006003,G17201,2,0
R_6LHESBWp3NZiStu,42.396,-83.2351,G26016305434003,G26016305434003,G26163,1,0
R_6SpNqHCVBEFwmU3,27.9028,-82.7153,G12010300245142,G12010300245142,G12103,1,0
R_69aj5HzGjKQARRU,33.6532,-118.0098,G06005900993111,G06005900993111,G06059,1,0
R_1HYtKpFFebCxAMQ,35.3431,-94.3715,G05013100011023,G05013100011023,G05131,3,0
R_6VrIYhFN3EtfnOj,45.0546,-93.2566,G27000300513052,G27000300513051,G27003,1,0
R_7qlLyEUevBrrNUx,37.1835,-121.7714,G06008505119112,G06008505119112,G06085,1,0
R_5luUTiOb6nJMCjd,43.425,-84.5914,G26005700002002,G26005700002002,G26057,6,0
R_3hheMmvgaVAk3Rw,41.2601,-76.9069,G42008100110001,G42008100110001,G42081,3,0
R_3IQJEEwftX1zsNO,40.9286,-98.3873,G31007900006001,G31007900006001,G31079,3,0
R_3I5zegyuyOUmssk,28.1822,-80.6117,G12000900667001,G12000900667001,G12009,2,0
R_32EzP5d1rN8pPiP,42.518,-83.1576,G26012501837002,G26012501837004,G26125,1,0
R_18SwUWFdae9ECzu,30.5875,-97.8535,G48049100203401,G48049100203021,G48491,1,0
R_3x8jOC7KaioaIP7,44.0563,-122.9164,G41003900018031,G41003900018031,G41039,2,0
R_5gUypnCtZNARidG,35.1594,-82.2117,G45008300225003,G45008300225003,G45083,2,0
R_3UcqIWMffxngBma,37.751,-97.822,G20015500018002,G20015500018002,G20155,4,0
R_17sSX0ECLXX646t,38.7169,-121.3677,G06006700074302,G06006700074303,G06067,1,0
R_3Rtwd6C4PkG8D9n,29.2866,-81.0869,G12012700808072,G12012700808072,G12127,2,0
R_1dXyGJWdov2AK6t,41.8764,-87.6133,G17003103204001,G17003103204001,G17031,1,0
R_3l0mstFyCxqpLPL,37.9285,-121.6881,G06001303031072,G06001303031034,G06013,1,0
R_7XbaDZIeBnkzjQl,39.9891,-76.1078,G42007100141023,G42007100141022,G42071,2,0
R_5SISpDRk6HIxxCn,33.4311,-96.5512,G48018100018031,G48018100018031,G48181,3,0
R_61iS8oH9l1pIshU,43.9937,-94.6207,G27016509502002,G27016509502002,G27165,8,0
R_31HtbzQtbKcrrLe,33.0176,-96.9926,G48012100217341,G48012100217341,G48121,1,0
R_3o5XcuqAbEOUnJb,38.6712,-76.5331,G24000908604022,G24000908604022,G24009,3,0
R_3XNZ93B2hj1e0cp,41.3271,-81.4513,G39015305301044,G39015305301044,G39153,2,0
R_3PaoeFuKBoqUXLj,30.3722,-88.5246,G28005900420003,G28005900420003,G28059,2,0
R_6e8WzKWjrbspXv6,40.1215,-75.3269,G42009102035003,G42009102035001,G42091,1,0
R_62gPQwmy6AdmrfK,38.6249,-90.4496,G29018902177012,G29018902177012,G29189,1,0
R_1ayl2TQtxRyiUZH,47.0111,-122.875,G53006700117211,G53006700117102,G53067,2,0
R_6cHBUlFiwWzg8gh,33.7275,-86.6467,G01007300112062,G01007300112062,G01073,1,0
R_7QLyBdzJFTs8qmM,34.9446,-82.2214,G45008300233023,G45008300233021,G45083,2,0
R_1DAJLZAQsmqBr47,47.7495,-122.2976,G53003300214002,G53003300214002,G53033,1,0
R_3n5buj7cBwZVccx,33.0893,-117.1153,G06007300203121,G06007300203071,G06073,1,0
R_59a4nWeqviAhZT3,35.8697,-83.7462,G47015500802021,G47015500802022,G47155,4,0
R_7VvaS5pWs8HiB3j,37.5147,-77.5034,G51076000710022,G51076000710022,G51760,1,0
R_6ZLw7MCw41B83qV,30.3634,-88.558,G28005900429003,G28005900429003,G28059,2,0
R_3dTsc7x72WV7Yyx,42.3888,-83.1895,G26016305373001,G26016305373001,G26163,1,0
R_6s5NviZwEHhlEbz,45.0646,-93.3836,G27005300215011,G27005300215011,G27053,1,0
R_7OUxaXqFAhj9Bp7,40.2152,-74.7471,G34002100007003,G34002100007003,G34021,2,0
R_5SkSYTb7Yb06ePc,46.9763,-123.7965,G53002700010001,G53002700010001,G53027,4,0
R_32L3lkDHP8cOOV4,40.7737,-89.9288,G17014300040003,G17014300040003,G17143,2,0
R_1TzAu5J0rimG3Gg,36.129,-115.2765,G32000300029402,G32000300029402,G32003,1,0
R_1LaRTB5DNM5ZCtP,41.4837,-98.6893,G31007709709002,G31007709709002,G31077,8,0
R_7XgsDj5basgs7It,30.4942,-94.9901,G48040702001043,G48040702001013,G48407,1,0
R_740egmzQHRFmvFn,34.0021,-81.0423,G45007900016001,G45007900016002,G45079,2,0
R_6TdowvHJ6IDsl4B,39.0469,-77.4903,G51010706110132,G51010706110132,G51107,1,0
R_5dNAxDODYaNYwiR,34.4993,-82.6575,G45000700007012,G45000700007003,G45007,2,0
R_3nqQXoDJe17uJe9,40.7122,-89.6283,G17014300027011,G17014300027011,G17143,2,0
R_1kUM1twWGyRTXqj,30.6717,-88.0987,G01009700024003,G01009700024003,G01097,2,0
R_7IbqS23QGGjY3ER,42.0825,-72.5621,G25001308021015,G25001308021005,G25013,2,0
R_5Dqg4ykGTEsKmBv,36.1236,-115.2757,G32000300029522,G32000300029522,G32003,1,0
R_51cmgUvoFNFJ2gI,33.1165,-117.1846,G06007300200444,G06007300200271,G06073,1,0
R_7CTwffLFOX8u2sP,39.9664,-75.1685,G42010100134022,G42010100134022,G42101,1,0
R_7hAXI6ANc8X6fZF,40.5153,-112.0316,G49003501131141,G49003501131071,G49035,1,0
R_6fANrGF2Qma7Tcl,40.2659,-79.8517,G42000304961022,G42000304961022,G42003,1,0
R_5e9pNJG6CxJcMOR,39.2648,-84.3221,G39006100243223,G39006100243223,G39061,1,0
R_7YWWBDRntm567NO,32.79,-108.2749,G35001709643004,G35001709643004,G35017,7,0
R_7srmSKjILreFRzX,42.1845,-88.3266,G17011108712052,G17011108712052,G17111,1,0
R_5OyXOHj4LNstJOV,43.0745,-76.1466,G36006700004002,G36006700004002,G36067,2,0
R_6Q9kpm6E6LMYyt6,40.6596,-111.9195,G49003501121024,G49003501121005,G49035,1,0
R_79sOOB0uRskBCwk,40.7252,-73.944,G36004700591004,G36004700591004,G36047,1,0
R_3ezu66dMgcRBPoN,40.2602,-76.8591,G42004300215003,G42004300215003,G42043,2,0
R_6chnMiYlSQM17JJ,37.4725,-105.8796,G08000309602022,G08000309602005,G08003,7,0
R_7F4EVxOarDtlSlA,28.5531,-81.7597,G12006900313122,G12006900313054,G12069,1,0
R_7mLexzftLmv0gbD,41.7335,-72.3739,G09001305281003,G09001305281002,G09013,#N/A,0
R_7EaGqwxWN2dAETu,31.8547,-111.0087,G04001900043284,G04001900043281,G04019,1,0
R_57qBAxghgYC8TkS,44.9834,-93.2622,G27005301261011,G27005301261002,G27053,1,0
R_6SkvMK2qVRCtxZI,35.1013,-106.5247,G35000100001273,G35000100001273,G35001,2,0
R_6sSWKu7ONJgS09l,30.2712,-81.7529,G12003100126022,G12003100126022,G12031,1,0
R_1xFeR2nQ7OlRsJF,46.8154,-92.1952,G27013700103013,G27013700103002,G27137,2,0
R_3pzcmbznWcvoMFE,43.6339,-116.2942,G16000100023181,G16000100023021,G16001,2,0
R_789VtKuPr16pVIZ,36.1876,-86.6119,G47003700156232,G47003700156231,G47037,1,0
R_5eznY7VfgzxuwTx,34.0772,-117.4506,G06007100033012,G06007100033012,G06071,1,0
R_5g8bd4EYC1qEiHf,29.7679,-94.9724,G48020102537004,G48020102537004,G48201,1,0
R_538K017DzdY6tsl,34.7828,-84.9332,G13031300004021,G13031300004001,G13313,3,0
R_5NT3kMYEqzs056p,30.1294,-95.4238,G48033906919003,G48033906919003,G48339,1,0
R_6doaAkrrjlhJbvR,40.1412,-87.6264,G17018300006001,G17018300006001,G17183,4,0
R_7jUStPzYbVVxER0,34.1895,-86.1933,G01009500311001,G01009500311001,G01095,4,0
R_13UHFawcL6gAJIN,30.1909,-85.6696,G12000500015024,G12000500015024,G12005,3,0
R_6pRxcv7T681ayj7,33.5283,-86.5748,G01007300110043,G01007300110013,G01073,1,0
R_6SAKOdiBYizylyG,43.1147,-85.5177,G26008100109031,G26008100109031,G26081,1,0
R_71hzHqq8Gap8Yvo,35.622,-105.8675,G35004900108002,G35004900108002,G35049,3,0
R_7jSstageL27MC1v,37.4,-77.4648,G51004101008152,G51004101008152,G51041,1,0
R_3Pn8YIs44ZQwPGE,40.3942,-111.8483,G49004900001024,G49004900001024,G49049,2,0
R_5iRnp2cgO2vSDvO,40.4413,-79.2533,G42006309620003,G42006309620003,G42063,4,0
R_7jPtsIDkGGYyLwl,33.7627,-118.1376,G06003705774002,G06003705774002,G06037,1,0
R_6OU27S7rGnltWb9,46.6828,-68.0169,G23000309518001,G23000309518001,G23003,7,0
R_5rMSvsufCs6exax,30.8165,-97.595,G48049100216014,G48049100216013,G48491,1,0
R_6OkMGtssGGGQZ6E,44.9466,-123.0105,G41004700006002,G41004700006002,G41047,2,0
R_3YX1gPay7DR2j6O,34.0014,-84.0144,G13013500505661,G13013500505252,G13135,1,0
R_3oyUMMARgI8so2q,44.0197,-123.1008,G41003900052002,G41003900052002,G41039,2,0
R_54pDkwdpg0yGKMo,40.0351,-74.1107,G34002907142005,G34002907142005,G34029,1,0
R_1yF94aEXwVBmB7X,44.8499,-122.9462,G41004700027011,G41004700027001,G41047,2,0
R_1xBDOK8gtni8YGB,33.0787,-83.2376,G13000909705012,G13000909705001,G13009,4,0
R_73p4fyAulXlAFeb,34.7095,-86.7361,G01008900110131,G01008900110131,G01089,2,0
R_3qZZ2WdvlcvEObb,38.3285,-120.9469,G06000500003032,G06000500003032,G06005,6,0
R_1zIr3NgJ2qUCdtz,33.4312,-112.3466,G04001300614011,G04001300614011,G04013,1,0
R_5qiFnjG6kN7QieB,40.4105,-79.5763,G42012908020033,G42012908020022,G42129,1,0
R_1E5jFdt1xS8950p,40.2692,-80.1611,G42012507451021,G42012507451002,G42125,1,0
R_78TJoR6HP5ckbZT,29.7502,-95.471,G48020104318011,G48020104317001,G48201,1,0
R_1Q4TwjRPsL1Ew7K,38.4687,-107.88,G08008509666012,G08008509666012,G08085,5,0
R_1UwEdFsOtoqs6id,38.4799,-121.4451,G06006700049043,G06006700049043,G06067,1,0
R_5FDIuc3QVc95sJ3,37.018,-76.3044,G51065000111001,G51065000111001,G51650,1,0
R_6wp765LhwWGP30J,39.587,-75.6112,G10000300164041,G10000300164041,G10003,1,0
R_7WcMnRUNZGXLrP3,33.5141,-112.1235,G04001301072012,G04001301072012,G04013,1,0
R_1Ov3d96D9n01HtB,43.1963,-86.2717,G26012100022004,G26012100022002,G26121,3,0
R_6rvtxZNkywZluCW,36.3325,-78.6156,G37007709702003,G37007709702003,G37077,6,0
R_6Yj8mWDxhvU3ZlL,45.2919,-93.8049,G27017101002034,G27017101002034,G27171,1,0
R_65znZ6cnKvNEPAd,42.9958,-89.5499,G55002500108021,G55002500108001,G55025,2,0
R_6CEdKHzj9EEPoh5,21.289,-157.8028,G15000300012012,G15000300012012,G15003,1,0
R_3lSJ1h5yZtHKKAN,33.8697,-118.3693,G06003706206014,G06003706206014,G06037,1,0
R_6WImijk2hXioJBw,39.336,-84.3126,G39016500319044,G39016500319044,G39165,1,0
R_7iQ1fGG8O1mqksH,32.8327,-86.6431,G01002100601011,G01002100601011,G01021,1,0
R_7EqTldlL0QgGVVv,39.6973,-104.8394,G08000500808002,G08000500808002,G08005,1,0
R_1J7XHImliM5uPty,30.4421,-97.6339,G48045300445002,G48045300018413,G48453,1,0
R_3KToBFGNwG9kQiO,33.5566,-116.1572,G06006500456192,G06006500456051,G06065,1,0
R_3r2I7UYSbJaA6vi,34.2777,-119.0155,G06011100093002,G06011100051001,G06111,2,0
R_6D0Kz28O61RAcaf,36.2121,-115.1284,G32000300037002,G32000300037002,G32003,1,0
R_7N2OKBVlLm7seTt,33.0951,-98.5923,G48050309505002,G48050309505003,G48503,7,0
R_5dEcRrplgn2qTNK,39.2918,-80.3526,G54003300306011,G54003300306011,G54033,5,0
R_1PtpXfhlrmEr73s,44.9015,-93.3719,G27005300237004,G27005300237004,G27053,1,0
R_308vNn1zA8T6p9L,41.7697,-87.6985,G17003106609003,G17003106609003,G17031,1,0
R_3dMvTW5hvnpbwPA,33.6172,-83.6065,G13021100102003,G13021100102001,G13211,1,0
R_1qsYXMKrM5fgLnO,39.3017,-120.9717,G06005700008012,G06005700008012,G06057,4,0
R_5O2uWBdjvDWoh8d,39.9587,-82.9987,G39004900040022,G39004900040001,G39049,1,0
R_6upTGZd9rsZAKLt,41.502,-82.0091,G39009300102002,G39009300102002,G39093,1,0
R_6mdZOZkP476klAl,39.6738,-104.9324,G08003100053001,G08003100053001,G08031,1,0
R_7Kx4Q4BPmw1pPlq,39.9758,-83.12,G39004900081721,G39004900081422,G39049,1,0
R_6PAzdb5FTPt8WFX,33.8351,-117.8652,G06005900863063,G06005900863063,G06059,1,0
R_3G55jrAE3xSLUpb,42.3797,-71.1034,G25001703512043,G25001703512043,G25017,1,0
R_6G8SaL3LDKax6JB,47.7027,-117.3702,G53006300002021,G53006300002003,G53063,2,0
R_61Xjh8posAllijp,35.0848,-89.8014,G47015700213411,G47015700213411,G47157,1,0
R_6J97gj35XUICvyD,47.3236,-122.3187,G53003300302043,G53003300302025,G53033,1,0
R_3l06wUb5Fo1dxat,41.2093,-96.0548,G31005500074581,G31005500074581,G31055,2,0
R_1fwaGecAzW29Fjh,37.2386,-96.9731,G20003504936002,G20003504936002,G20035,4,0
R_5L6W9ZqZt4zQfgT,38.6961,-90.2544,G29051001074002,G29051001074002,G29510,1,0
R_3Y0IeXJ0bc46BYl,27.9654,-82.4307,G12005700035001,G12005700035002,G12057,1,0
R_5cSruVIs3eR772E,29.521,-98.362,G48002901215072,G48002901215072,G48029,1,0
R_1obwud08v2KrnFv,32.3485,-97.3311,G48025101303033,G48025101303031,G48251,1,0
R_7qmD3ktGNgYb6CL,38.6096,-121.4443,G06006700069023,G06006700069003,G06067,1,0
R_6qW0aw5Z8MrY58W,35.229,-89.5155,G47004700604023,G47004700604042,G47047,1,0
R_7lL0VYjOPBmQtK9,26.1748,-98.187,G48021500214052,G48021500214032,G48215,2,0
R_6OvHstizsUmcAxB,41.923,-87.7531,G17003101911005,G17003101911005,G17031,1,0
R_1PnB1uqXem8s3yZ,43.8013,-91.2134,G55006300007002,G55006300007002,G55063,3,0
R_5rHl0PCLwLkVUw8,33.6262,-112.0074,G04001301033024,G04001301033023,G04013,1,0
R_5wzSo4aQa9R4WmJ,33.7908,-118.3248,G06003706700033,G06003706700033,G06037,1,0
R_1GVvsGNRhF9iLns,34.1851,-118.7706,G06011100074061,G06011100074061,G06111,2,0
R_105LpmItPvpu202,42.2523,-83.2107,G26016305764003,G26016305764001,G26163,1,0
R_70vZNZq666Lxtae,26.4525,-80.1562,G12009900059384,G12009900059382,G12099,1,0
R_31ghbS6jnvcwn4d,42.5232,-88.2573,G55005900030011,G55005900030011,G55059,3,0
