IPAddress,Duration (in seconds),responseId,LocationLatitude,LocationLongitude,Q2,Q3,Q1,Q4,Q5,Q6,Q7,Q8,Q9,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q10_1,Q10_2,Q10_3,Q10_4,Q14_14,Q10_13,Q10_12,Q10_5,Q10_7,Q10_6,Q10_8,Q10_9,Q10_10,Q10_11,Q14b_1,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q109,Q113,Q114,Q116,Q117,Q16_1,Q16_2,Q17,Q20#1_1_1,Q20#1_2_1,Q20#1_3_1,Q20#1_4_1,Q20#1_5_1,Q20#1_6_1,Q20#1_7_1,Q20#1_8_1,Q20#1_9_1,Q20#1_10_1,Q20#1_11_1,Q20#1_12_1,Q20#1_13_1,Q20#1_14_1,Q20#2_1,Q20#2_2,Q20#2_3,Q20#2_4,Q20#2_5,Q20#2_6,Q20#2_7,Q20#2_8,Q20#2_9,Q20#2_10,Q20#2_11,Q20#2_12,Q20#2_13,Q20#2_14,Q118,Q22#1_1_1,Q22#1_2_1,Q22#1_3_1,Q22#1_4_1,Q22#1_5_1,Q22#1_6_1,Q22#1_7_1,Q22#1_8_1,Q22#1_9_1,Q22#1_10_1,Q22#1_11_1,Q22#1_12_1,Q22#1_13_1,Q22#1_14_1,Q22#2_1,Q22#2_2,Q22#2_3,Q22#2_4,Q22#2_5,Q22#2_6,Q22#2_7,Q22#2_8,Q22#2_9,Q22#2_10,Q22#2_11,Q22#2_12,Q22#2_13,Q22#2_14,Q119,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q25,Q26,Attn check 1,Q28_2,Q28_3,Q30_1,Q30_2,Q31_1,Q31_2,Q32,Q33,Q34,Q103,Q104,Attn check 2,Q37,Q38,Q39,Q40,Q41,Q42,Q44,Q45,Q46,Q47,Q21_1,Q21_2,Q21_12,Q21_13,Q21_14,Q21_16,Q21_15,Q22_6,Q22_8,Q24 w attn check_1,Q24 w attn check_2,Q24 w attn check_3,Q24 w attn check_4,Q24 w attn check_5,Q24 w attn check_6,Q102,Q48,Q49,Q50,Q51,Q52_1,Q52_2,Q101,aid
174.209.196.23,873,R_10PuTfPju0L3ZhA,34,-84,1,1,5,2,4,1,3,12,12,200,400,150,180,95,75,2,"1,2","1,2","1,2","1,2",2,1,1,2,"1,2",2,1,1,2,nelsons,2,1,"1,2",2,1,2,"1,2",2,,2,2,2,1,1,1,,400,250,50,50,,60,40,,100,,60,140,,,2,1,2,2,,1,1,,2,,2,1,,4,300,120,200,110,85,65,,,190,120,85,,,45,1,"1,2",1,2,2,1,,,1,2,1,,,"1,2",4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,,3,100,91,194,177,174,195,1,1,8,"1,3,4,7",,2,3,3,2,,2,2,4,2,2,2,7,7,7,6,6,6,6,6,6,7,6,6,6,7,7,"2,5,6",8,5,4,90210,191,210,3,65bb3f1f-2b72-4556-5091-f8240fae342f
104.3.151.193,686,R_10T2DhPcVLZSxzN,32,-94,1,1,19,2,4,1,12,5,3,5,30,20,15,50,40,1,5,5,1,5,1,5,5,5,5,5,1,1,1,,4,"1,2",1,4,1,4,1,,,,,,,,,120,,,50,,20,,,,,,20,0,0,3,,,3,,3,,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15,,3,64,88,82,144,94,161,4,1,6,11,1,2,1,1,1,1,1,1,1,1,4,1,2,6,5,5,5,5,5,5,5,5,5,5,5,7,4,"4,5,7",4,4,3,71129,1132,1141,2,659b17f7-69b6-d634-32cf-afb65f367875
108.32.54.209,3353,R_10TKt8JlxQgLKgK,40,-80,1,1,39,2,6,1,12,7,7,30,50,20,30,30,20,"1,2","1,2",5,5,5,5,5,5,5,5,2,"1,2","1,2",5,Hello fresh,"1,2",4,4,4,4,4,4,,,,,,,,,100,100,,,,,,,,,,50,100,,3,3,,,,,,,,,,3,3,,,100,100,,,,,,,,,50,50,100,,3,3,,,,,,,,,3,3,3,,,1,1,4,4,3,3,4,4,4,4,4,2,2,2,15,,3,67,53,200,60,30,20,5,1,6,"1,7,8",,2,2,2,1,2,1,1,4,2,1,4,2,1,3,7,7,2,5,6,6,6,2,6,5,7,4,"4,5,7",3,3,1,15207,2283,2285,2,659a1e2c-4050-2537-a5dd-bd6fcde1576c
216.128.97.71,1141,R_10UVXnXXIHrwLZj,46,-123,1,1,49,2,7,1,12,11,11,6,30,10,40,14,0,"1,2","1,2",5,5,5,5,5,5,5,5,5,5,5,5,,"1,2",4,4,4,4,4,4,,,,,,,,,150,150,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,200,100,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,4,4,4,4,15,,3,80,80,90,90,70,60,5,1,"3,4","1,2",,2,3,3,2,,2,2,4,4,5,4,7,6,7,7,4,5,7,7,7,7,7,7,7,7,4,"1,2,3,4,5,6",3,3,1,98625,3001,3009,1,65961dd2-e96d-9da1-172a-9d89454a889b
97.99.194.204,658,R_10YBXVbRZ7RSQDD,33,-97,1,1,45,2,3,1,12,8,8,10,50,15,20,5,0,"1,2","1,2",2,5,5,1,5,2,5,5,5,5,"1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,50,50,,,,50,,,,,,,50,50,3,3,,,,3,,,,,,,1,1,,50,50,20,,,,,20,,,,,50,50,3,3,3,,,,,3,,,,,1,1,,1,1,4,4,4,1,4,2,4,4,4,4,3,3,15,,3,40,18,89,100,24,23,4,1,8,1,,2,2,2,1,2,1,1,1,2,2,4,5,3,6,2,3,3,5,4,6,7,5,6,3,7,3,"4,5",7,3,2,75074,2567,2610,3,65981381-13db-bed0-d61a-14dca0344f0b
35.150.254.75,480,R_10dhqveJSUANTg9,33,-83,1,1,11,2,3,1,3,4,3,20,20,20,20,50,0,2,5,1,1,1,1,1,2,1,1,1,1,1,1,Hello,1,2,1,1,4,4,4,,,,,,,,,,,30,30,30,30,30,,30,30,30,30,30,30,,,3,3,3,3,3,,3,3,3,3,3,3,,30,,,,,,,30,,,,,,,2,,,,,,,2,,,,,,,2,2,3,2,2,2,2,2,4,2,2,2,2,2,2,19,Internet ,3,74,66,149,180,153,134,4,1,8,5,,2,2,2,1,2,1,2,2,2,1,2,6,4,6,5,5,6,2,6,5,5,2,3,6,7,5,3,5,2,1,31061,398,3,3,659fb814-f991-8632-7dd4-bea260c64ff1
69.146.96.145,630,R_10oOykGnWHaYwCv,37,-106,1,1,6,2,5,1,12,10,10,30,20,5,10,50,15,2,"1,2",5,5,5,5,5,1,5,5,5,5,5,5,,"1,2",4,4,4,4,4,4,,,,,,,,,,150,,,,,,30,,,,,,,,3,,,,,,3,,,,,,,,150,120,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,2,2,4,4,4,4,4,4,4,3,4,4,4,4,15,,3,29,32,35,37,9,9,5,2,8,1,,2,3,3,2,,2,2,1,2,1,4,5,4,6,6,4,4,6,6,4,6,6,6,5,7,4,"1,3,4",7,3,2,81144,250,304,1,659b28e5-1b6a-1e2b-ebcd-ec7b3b223cc6
73.211.6.4,991,R_10oROMnzUQ13a9n,42,-88,1,1,14,2,7,1,12,3,3,4,24,5,30,4,0,5,"1,2",2,5,2,"1,2","1,2",5,"1,2",5,5,5,5,"1,2",,4,4,2,4,1,4,4,,,2,,,,1,,,50,,,,5,50,,0,,,,,8,,2,,,,3,3,,3,,,,,3,1,,35,20,,0,5,50,,0,,,,,13,,2,3,,3,3,3,,3,,,,,"1,3",3,4,3,3,3,3,2,2,4,4,4,4,4,4,2,15,,3,61,60,61,61,59,59,5,1,7,1,,2,2,2,1,2,1,2,4,1,5,4,2,1,5,7,6,7,7,5,5,5,6,5,5,7,5,"4,5,7",5,1,1,60615,609,435,3,65949ff5-44b6-23e4-14f4-db6a58673fbd
24.59.249.195,1167,R_10u0KFqUSspPuJH,43,-76,1,1,33,2,5,1,3,3,4,15,30,5,40,10,0,"1,2","1,2",5,5,1,5,5,5,5,5,5,5,5,5,,4,4,4,4,2,4,4,,2,,,,,,,150,50,,,3,,,,,,,,,,2,2,,,2,,,,,,,,,,3,160,50,,,,,,,,,,,,,3,2,,,,,,,,,,,,,3,2,2,4,4,3,4,4,4,4,4,4,4,3,3,15,,3,61,65,76,65,20,30,5,3,8,"1,11",3,2,3,3,2,,2,2,4,2,5,2,5,6,5,7,5,6,7,7,6,6,5,5,6,7,4,"4,5,7",8,2,1,14867,1861,1916,1,659744df-a525-0460-eab6-ee0d6e51a516
72.234.125.56,1045,R_1114fvP6rCqfUTD,21,-158,1,1,12,2,6,1,7,10,10,10,60,20,30,20,10,"1,2","1,2",5,5,5,5,5,5,5,5,5,5,"1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,30,100,,,,,,,,,,,10,10,3,3,,,,,,,,,,,3,3,,30,100,,,,,,,,,,,10,10,3,3,,,,,,,,,,,3,3,,2,2,4,4,4,4,4,4,4,4,4,4,2,2,15,,3,60,60,240,240,239,240,5,1,8,"1,5,6,7",,2,3,3,2,,1,1,1,1,1,1,4,2,7,7,5,4,7,5,5,6,7,5,7,7,5,"1,3,4",7,2,1,96789,558,560,2,6597d279-66b4-0e31-ea1a-d4f92dce870e
174.101.122.130,2043,R_115U0Jv3PxLYwMJ,39,-83,1,1,36,2,4,1,12,1,5,10,40,20,10,50,20,5,5,5,"1,2",5,"1,2",1,5,5,1,5,"1,2","1,2",1,,4,4,"1,2","1,2","1,2",4,4,,2,1,3,,,,,,,,50,,60,150,,,0,,10,20,0,,,,3,,3,3,,,3,,3,3,3,,,,,50,,100,,,,,,20,10,,,,,3,,3,,,,,,3,3,,,2,4,4,2,2,1,1,4,4,2,4,2,2,1,15,,3,95,43,130,52,10,10,4,3,8,"1,6,8",,2,1,1,1,1,1,1,4,2,1,5,4,5,7,7,3,2,7,7,7,4,7,7,4,7,1,"3,4,5",3,3,2,45601,2079,2150,2,659a11ca-9ecb-a2c0-551d-fb4ab66e0408
199.83.221.178,830,R_11A28fAEKObH9uz,38,-122,1,1,5,1,5,1,1,1,1,15,40,35,6,30,0,1,1,1,1,1,2,2,2,2,5,5,1,2,5,,4,4,4,4,1,4,4,,,,,,1,1,,0,50,0,0,100,,,,,,,0,,,3,2,3,3,2,,,,,,,3,,,1,,,,,,0,0,0,0,,,,0,,,,,,,3,3,3,3,,,,3,,,4,2,2,3,2,4,2,4,4,3,4,2,3,3,15,,3,82,63,65,64,17,10,5,1,8,6,,2,2,2,3,,1,1,4,2,4,6,5,4,1,7,4,1,4,2,6,1,3,5,1,7,3,"2,4,6",3,1,1,94102,191,229,3,659fe0f7-d7c1-c523-4c9a-79b4469820a8
72.239.213.14,554,R_11AtHFGF5lTrBCa,28,-81,1,1,10,2,2,1,12,11,11,70,200,100,80,95,30,1,1,1,1,1,1,1,5,5,5,5,1,5,1,,4,4,2,2,1,1,4,,,1,2,,1,1,1,250,0,0,100,100,50,0,,,,,50,,0,2,3,3,2,2,2,3,,,,,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,4,1,3,4,4,4,4,4,2,1,3,15,,3,71,62,121,93,19,26,1,1,8,1,,2,1,1,1,1,1,1,1,4,2,2,5,3,6,7,6,6,6,5,5,6,3,5,6,7,6,"4,5,7",8,5,3,32923,330,335,2,65adab65-406c-e756-857c-c98cf1dcce17
47.5.40.139,510,R_11CWrzbo0mnzCq5,43,-109,1,1,52,2,7,1,12,4,4,10,20,5,20,20,5,"1,2","1,2",5,5,5,5,5,5,5,5,5,5,"1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,25,50,,,,,,,,,,,15,40,3,3,,,,,,,,,,,3,3,,30,50,,,,,,,,,,,15,20,3,3,,,,,,,,,,,3,3,,2,2,4,2,4,4,4,1,1,4,4,4,1,1,15,,3,29,29,41,39,28,30,5,1,8,2,,2,3,3,2,,2,2,3,2,1,4,6,1,6,5,3,3,6,6,2,6,7,7,3,7,6,"1,3,7",5,1,1,82501,3170,273,1,65980d5c-a874-737f-fd36-985b6aef0620
47.32.26.222,1035,R_11KG9heWd6mTScd,43,-89,1,1,51,2,3,1,12,11,12,25,50,20,25,40,10,"1,2","1,2",5,"1,2","1,2",5,5,5,5,5,1,5,"1,2","1,2",Hello fresh,4,4,4,4,4,4,4,,,,,,,,,75,30,,5,20,,,,,,38,,10,10,1,3,,3,2,,,,,,2,,3,3,4,70,30,,10,20,,,,,,,,10,10,3,3,,3,3,,,,,,,,2,1,4,1,3,4,2,2,4,4,4,4,4,3,4,3,3,20,"Word of mouth in the the community, social media",3,50,35,70,62,63,81,1,1,8,"1,4,11",1,2,3,3,2,,2,2,1,2,1,3,3,4,3,7,5,4,5,5,7,7,6,6,7,7,4,"4,5,7",7,3,2,53546,3097,1405,2,65b9cb07-d1b2-230d-7aa9-4f5c81cddac9
71.117.166.72,1045,R_11MSn25BIns3UGJ,41,-72,1,1,41,1,6,1,12,4,5,10,5,5,5,5,0,5,1,5,5,5,5,5,5,5,5,2,5,"1,2","1,2",blue apron,4,4,4,4,4,4,4,,,,,,,,,,30,,,,,,,,,,,30,20,,3,,,,,,,,,,,3,3,,,,,,,,,,,,70,,30,20,,,,,,,,,,,2,,3,3,2,4,2,4,4,4,4,4,4,4,4,3,4,2,2,15,,3,20,20,45,45,120,60,5,1,8,"2,11",3,2,3,3,2,,2,2,3,1,5,4,1,1,1,5,1,1,6,3,1,7,5,5,5,7,3,"4,5,7",7,1,1,2879,2351,66,2,65981654-6655-ee21-b377-abd8571a9960
174.218.168.171,536,R_11Z9HlN4tPP00bq,40,-105,1,1,6,1,3,1,12,12,12,20,80,20,25,50,25,"1,2","1,2","1,2","1,2","1,2","1,2","1,2",5,5,5,5,1,"1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,50,200,50,25,75,25,25,,,,,15,150,75,3,3,3,3,"2,3",3,3,,,,,3,3,3,4,50,250,50,25,75,25,25,,,,,,150,75,3,3,3,3,2,3,3,,,,,,3,3,4,2,1,2,2,1,2,2,2,4,4,2,2,2,3,15,,3,39,40,59,59,57,57,5,1,8,6,,2,3,3,2,,2,2,2,4,1,1,5,6,6,5,5,2,3,3,3,5,6,5,3,7,3,"1,3,5",7,3,2,80128,250,38,2,65b25afe-e38c-4613-48e0-4ba9e3511576
98.165.17.245,287,R_11bDYSn44NNy8Vn,33,-112,1,1,3,2,5,1,12,11,11,15,20,10,10,350,0,5,"1,2",5,5,5,5,5,5,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,,400,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,,3,23,30,35,39,35,49,5,1,8,4,,2,3,3,2,,2,2,4,2,3,4,5,4,3,5,3,4,3,4,5,5,5,5,6,7,5,4,8,3,3,85295,99,107,2,65ac8014-4344-418c-211f-faa15048b71b
198.134.152.73,708,R_11bkOw1GyrzzCm7,27,-82,1,1,10,1,6,1,12,11,11,6,40,10,15,10,5,"1,2","1,2",5,5,5,"1,2",5,5,5,5,5,"1,2","1,2","1,2",,4,4,4,4,4,4,4,,,,,,,,,65,10,,,,10,,,,,,0,75,30,3,3,,,,3,,,,,,3,3,3,,60,20,,,,10,,,,,,0,75,30,3,3,,,,3,,,,,,3,3,3,,2,2,4,4,4,2,2,4,4,4,4,2,2,2,15,,3,60,60,124,124,122,123,5,1,8,"1,2",,2,3,3,2,,2,2,3,2,3,4,3,3,5,3,4,4,7,6,1,7,5,5,5,7,5,"5,6,7",7,1,1,34231,330,388,2,6596db9c-7f3c-f1d0-3c96-909f25fdbcd3
69.143.223.235,701,R_11c6MKNqCZWUyxv,39,-76,1,1,21,1,7,1,12,8,8,10,20,10,10,10,10,"1,2","1,2",5,5,5,5,5,"1,2",5,5,5,5,"1,2","1,2",,"1,2",4,4,4,4,4,4,,,,,,,,,20,20,,,,,,10,,,,,20,20,3,3,,,,,,3,,,,,3,3,,20,20,,,,,,10,,,,,20,20,3,3,,,,,,3,,,,,3,3,,2,2,4,4,4,2,4,2,4,4,4,2,2,2,15,,3,21,20,100,100,60,60,5,3,8,"1,2",,2,3,3,2,,2,2,4,2,5,4,6,4,5,5,4,1,5,4,1,5,5,2,2,7,2,"1,4,5",4,2,1,21061,1214,1216,2,6597fbab-7b46-cf8b-50b4-e6f4ab3d4ea6
75.22.16.230,1078,R_11cEpV2xJF7RAay,39,-90,1,1,26,2,7,1,12,10,10,20,30,10,30,10,10,"1,2","1,2",5,5,5,"1,2",5,5,5,5,5,5,"1,2","1,2",,"1,2",4,4,4,4,4,4,,,,,,,,,40,30,,,,30,,,,,,,10,10,3,3,,,,3,,,,,,,1,3,,40,30,,,,30,,,,,,,10,10,3,3,,,,3,,,,,,,1,3,,2,2,4,4,4,2,4,4,4,4,4,4,2,2,15,,3,90,90,120,120,60,60,5,1,8,7,,2,3,3,2,,2,2,4,4,5,4,6,5,6,6,4,6,5,6,5,6,7,7,7,7,5,"1,5,6",7,2,1,63116,1509,1624,3,6597e509-2130-8df7-41ed-b752ea9bc9d8
174.80.192.3,880,R_11dt33i3yOjLygh,36,-81,1,1,34,2,7,1,12,11,10,10,40,20,20,10,0,"1,2","1,2",2,5,5,5,1,"1,2",5,1,5,"1,2","1,2","1,2",,"1,2",4,4,4,4,4,4,,,,,,,,,150,40,,,,,0,100,,0,,30,35,50,3,3,,,,,3,3,,3,,3,3,3,,40,50,10,,,,,30,,,,20,10,20,3,3,3,,,,,3,,,,3,3,3,,2,2,3,4,4,4,2,2,4,4,4,2,2,2,15,,3,44,62,64,72,26,11,5,1,8,"1,5,6,7",,2,3,3,2,,1,2,1,2,2,2,5,6,5,6,4,3,6,6,3,7,7,7,5,7,3,"1,3,5",5,2,1,28601,1924,1942,2,6596d1e6-2291-e96c-b936-c30a4541e37f
